Libellé;idBank
Indicateur conjoncturel de fécondité des femmes - Ensemble - Ain;1744350
Indicateur conjoncturel de fécondité des femmes - Ensemble - Aisne;1744351
Indicateur conjoncturel de fécondité des femmes - Ensemble - Allier;1744352
Indicateur conjoncturel de fécondité des femmes - Ensemble - Alpes-de-Haute-Provence;1744353
Indicateur conjoncturel de fécondité des femmes - Ensemble - Hautes-Alpes;1744354
Indicateur conjoncturel de fécondité des femmes - Ensemble - Alpes-Maritimes;1744355
Indicateur conjoncturel de fécondité des femmes - Ensemble - Ardèche;1744356
Indicateur conjoncturel de fécondité des femmes - Ensemble - Ardennes;1744357
Indicateur conjoncturel de fécondité des femmes - Ensemble - Ariège;1744358
Indicateur conjoncturel de fécondité des femmes - Ensemble - Aube;1744359
Indicateur conjoncturel de fécondité des femmes - Ensemble - Aude;1744360
Indicateur conjoncturel de fécondité des femmes - Ensemble - Aveyron;1744361
Indicateur conjoncturel de fécondité des femmes - Ensemble - Bouches-du-Rhône;1744362
Indicateur conjoncturel de fécondité des femmes - Ensemble - Calvados;1744363
Indicateur conjoncturel de fécondité des femmes - Ensemble - Cantal;1744364
Indicateur conjoncturel de fécondité des femmes - Ensemble - Charente;1744365
Indicateur conjoncturel de fécondité des femmes - Ensemble - Charente-Maritime;1744366
Indicateur conjoncturel de fécondité des femmes - Ensemble - Cher;1744367
Indicateur conjoncturel de fécondité des femmes - Ensemble - Corrèze;1744368
Indicateur conjoncturel de fécondité des femmes - Ensemble - Corse-du-Sud;1744369
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Corse;1744370
Indicateur conjoncturel de fécondité des femmes - Ensemble - Côte-d'Or;1744371
Indicateur conjoncturel de fécondité des femmes - Ensemble - Côtes-d'Armor;1744372
Indicateur conjoncturel de fécondité des femmes - Ensemble - Creuse;1744373
Indicateur conjoncturel de fécondité des femmes - Ensemble - Dordogne;1744374
Indicateur conjoncturel de fécondité des femmes - Ensemble - Doubs;1744375
Indicateur conjoncturel de fécondité des femmes - Ensemble - Drôme;1744376
Indicateur conjoncturel de fécondité des femmes - Ensemble - Eure;1744377
Indicateur conjoncturel de fécondité des femmes - Ensemble - Eure-et-Loir;1744378
Indicateur conjoncturel de fécondité des femmes - Ensemble - Finistère;1744379
Indicateur conjoncturel de fécondité des femmes - Ensemble - Gard;1744380
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Garonne;1744381
Indicateur conjoncturel de fécondité des femmes - Ensemble - Gers;1744382
Indicateur conjoncturel de fécondité des femmes - Ensemble - Gironde;1744383
Indicateur conjoncturel de fécondité des femmes - Ensemble - Hérault;1744384
Indicateur conjoncturel de fécondité des femmes - Ensemble - Ille-et-Vilaine;1744385
Indicateur conjoncturel de fécondité des femmes - Ensemble - Indre;1744386
Indicateur conjoncturel de fécondité des femmes - Ensemble - Indre-et-Loire;1744387
Indicateur conjoncturel de fécondité des femmes - Ensemble - Isère;1744388
Indicateur conjoncturel de fécondité des femmes - Ensemble - Jura;1744389
Indicateur conjoncturel de fécondité des femmes - Ensemble - Landes;1744390
Indicateur conjoncturel de fécondité des femmes - Ensemble - Loir-et-Cher;1744391
Indicateur conjoncturel de fécondité des femmes - Ensemble - Loire;1744392
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Loire;1744393
Indicateur conjoncturel de fécondité des femmes - Ensemble - Loire-Atlantique;1744394
Indicateur conjoncturel de fécondité des femmes - Ensemble - Loiret;1744395
Indicateur conjoncturel de fécondité des femmes - Ensemble - Lot;1744396
Indicateur conjoncturel de fécondité des femmes - Ensemble - Lot-et-Garonne;1744397
Indicateur conjoncturel de fécondité des femmes - Ensemble - Lozère;1744398
Indicateur conjoncturel de fécondité des femmes - Ensemble - Maine-et-Loire;1744399
Indicateur conjoncturel de fécondité des femmes - Ensemble - Manche;1744400
Indicateur conjoncturel de fécondité des femmes - Ensemble - Marne;1744401
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Marne;1744402
Indicateur conjoncturel de fécondité des femmes - Ensemble - Mayenne;1744403
Indicateur conjoncturel de fécondité des femmes - Ensemble - Meurthe-et-Moselle;1744404
Indicateur conjoncturel de fécondité des femmes - Ensemble - Meuse;1744405
Indicateur conjoncturel de fécondité des femmes - Ensemble - Morbihan;1744406
Indicateur conjoncturel de fécondité des femmes - Ensemble - Moselle;1744407
Indicateur conjoncturel de fécondité des femmes - Ensemble - Nièvre;1744408
Indicateur conjoncturel de fécondité des femmes - Ensemble - Nord;1744409
Indicateur conjoncturel de fécondité des femmes - Ensemble - Oise;1744410
Indicateur conjoncturel de fécondité des femmes - Ensemble - Orne;1744411
Indicateur conjoncturel de fécondité des femmes - Ensemble - Pas-de-Calais;1744412
Indicateur conjoncturel de fécondité des femmes - Ensemble - Puy-de-Dôme;1744413
Indicateur conjoncturel de fécondité des femmes - Ensemble - Pyrénées-Atlantiques;1744414
Indicateur conjoncturel de fécondité des femmes - Ensemble - Hautes-Pyrénées;1744415
Indicateur conjoncturel de fécondité des femmes - Ensemble - Pyrénées-Orientales;1744416
Indicateur conjoncturel de fécondité des femmes - Ensemble - Bas-Rhin;1744417
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haut-Rhin;1744418
Indicateur conjoncturel de fécondité des femmes - Ensemble - Rhône;1744419
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Saône;1744420
Indicateur conjoncturel de fécondité des femmes - Ensemble - Saône-et-Loire;1744421
Indicateur conjoncturel de fécondité des femmes - Ensemble - Sarthe;1744422
Indicateur conjoncturel de fécondité des femmes - Ensemble - Savoie;1744423
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Savoie;1744424
Indicateur conjoncturel de fécondité des femmes - Ensemble - Paris;1744425
Indicateur conjoncturel de fécondité des femmes - Ensemble - Seine-Maritime;1744426
Indicateur conjoncturel de fécondité des femmes - Ensemble - Seine-et-Marne;1744427
Indicateur conjoncturel de fécondité des femmes - Ensemble - Yvelines;1744428
Indicateur conjoncturel de fécondité des femmes - Ensemble - Deux-Sèvres;1744429
Indicateur conjoncturel de fécondité des femmes - Ensemble - Somme;1744430
Indicateur conjoncturel de fécondité des femmes - Ensemble - Tarn;1744431
Indicateur conjoncturel de fécondité des femmes - Ensemble - Tarn-et-Garonne;1744432
Indicateur conjoncturel de fécondité des femmes - Ensemble - Var;1744433
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vaucluse;1744434
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vendée;1744435
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vienne;1744436
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Vienne;1744437
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vosges;1744438
Indicateur conjoncturel de fécondité des femmes - Ensemble - Yonne;1744439
Indicateur conjoncturel de fécondité des femmes - Ensemble - Territoire de Belfort;1744440
Indicateur conjoncturel de fécondité des femmes - Ensemble - Essonne;1744441
Indicateur conjoncturel de fécondité des femmes - Ensemble - Hauts-de-Seine;1744442
Indicateur conjoncturel de fécondité des femmes - Ensemble - Seine-Saint-Denis;1744443
Indicateur conjoncturel de fécondité des femmes - Ensemble - Val-de-Marne;1744444
Indicateur conjoncturel de fécondité des femmes - Ensemble - Val-d'Oise;1744445
Indicateur conjoncturel de fécondité des femmes - Ensemble - France métropolitaine;1744512
